ID,ACRONYM,NAME
"165","fcamp","Federal College Of Agriculture, Moor Plantation"
"166","fcahptib","Federal College Of Animal Health &amp;amp; Production Tech, Ibadan"
"167","fcahptvom","Federal College Of Animal Health &amp;amp; Production Tech, Vom"
"168","marinecollege","Federal College Of Fisheries And Marine Tech. V.I."
"169","fcftib","Federal College Of Forestry Technology, Ibadan"
"170","fcfjos","Federal College Of Forestry, Jos"
"171","fcfmaf","Federal College Of Forestry, Mechanisation, Afaka"
"172","fcfftbo","Federal College Of Freshwater Fisheries Tech, Baga"
"173","fcfftnewbussa","Federal College Of Freshwater Fisheries Tech, New Bussa"
"174","fchkowa","Federal College Of Horticulture, Dadin Kowa"
"175","fclrtkuru","Federal College Of Land Resources Technology, Kuru"
"176","fclrto","Federal College Of Land Resources Technology, Owerri"
"177","fcotigbobi","Federal College Of Orthopedic Technology, Igbobi"
"178","fcwm","Federal College Of Wildlife Management, New Bussa"
"179","fccibadan","Federal Cooperative College, Ibadan"
"180","fcckaduna","Federal Cooperative College, Kaduna"
"181","fccojiriver","Federal Cooperative College, Oji River"
"182","ekitipoly","Federal polytechnic, Ado-Ekiti"
"183","balipoly","Federal Polytechnic, Bali"
"184","bauchipoly","Federal polytechnic, Bauchi"
"185","bidapoly","Federal polytechnic, Bida"
"186","birnin-kebbipol","Federal polytechnic, Birnin-Kebbi"
"187","damaturupoly","Federal polytechnic, Damaturu"
"188","edepoly","Federal polytechnic, Ede"
"189","idahpoly","Federal polytechnic, Idah"
"190","ilaropoly","Federal polytechnic, Ilaro"
"191","fedponam","Federal Polytechnic, Kaura Namoda"
"192","mubipoly","Federal polytechnic, Mubi"
"193","nasarawapoly","Federal polytechnic, Nasarawa"
"194","nekedepoly","Federal polytechnic, Nekede"
"195","offapoly","Federal Polytechnic, Offa"
"196","okopoly","Federal polytechnic, Oko"
"197","fedsdtten","Federal School Of Dental Technology And Therapy, Enugu"
"198","fssoyo","Federal School Of Surveying, Oyo"
"199","fideipoly","Fidei Polytechnic, Gboko"
"200","flyingdove","Flyingdove Institute Of Information Technology, Abuja"
"201","gatewaypoly","Gateway polytechnic Saapade"
"202","gracepoly","Grace Polytechnic, Lagos"
"203","hukpoly","Hassan Usman Katsina Poly"
"204","heritage","Heritage Polytechnic"
"205","highland","Highland College Of Tech. &amp;amp; Further Education"
"206","hussainipoly","Hussaini Adamu Federal polytechnic"
"207","ifotech","Ifo College Of Management And Technology"
"208","igbajopoly","Igbajo Polytechnic"
"209","imfi","Imfi, Ict Academy, Uyo"
"210","imopoly","Imo State Polytechnic"
"211","iitkad","Innovation Institute Of Technology, Kaduna"
"212","imte","Institute of Management Technology, Enugu"
"213","iphoau","Institute Of Public Health"
"214","interlink","Interlink Polytechnic"
"215","jsiit","Jigawa State Institute Of Information Technology"
"216","jigpoly","Jigawa State Polytechnic"
"217","kbs","Kaduna Business School"
"218","kadpoly","Kaduna Polytechnic"
"219","kanopoly","Kano State polytechnic"
"220","karrox","Karrox-ugrl Computer Education &amp;amp; Training Centre"
"221","kingspoly","Kings Polytechnic"
"222","ksp","Kogi State Polytechnic"
"223","kwarapoly","Kwara State polytechnic"
"224","lcccl","Lagos City Computer College, Lagos"
"225","lagoscitypoly","Lagos City polytechnic"
"226","laspotech","Lagos State polytechnic"
"227","lanistephens","Lani Stephens Music Institute"
"228","laserpgc","Laser Petroleum Geo-sciences Centre"
"229","lighthousepoly","Light House Polytechnic"
"230","linetpaul","Linet Paul Innovative Institute"
"231","lcmt","Literacy College Of Management And Technology"
"232","lufodo","Lufodo Academy Of Performing Arts"
"233","mlcamai","Mahammed Lawan College Of Agriculture, Maiduguri"
"234","myhias","Mallam Yahaya Hamza Institute Of Advance Studies,"
"235","maritimeacademy","Maritime Academy of Nigeria"
"236","metit","Metropolitan Institute Of Technology"
"237","mapoly","Moshood Abiola polytechnic"
"238","naspoly","Nasarawa State Polytechnic"
"239","coamokwa","Niger State College Of Agriculture, Mokwa"
"240","nigerpoly","Niger State polytechnic"
"241","nasme","Nigeria Army School Of Military Engineering, Makurdi"
"242","ncat","Nigerian College of Aviation Technology"
"243","niit","NIIT"
"244","nuhubamallipoly","Nuhu Bamalli polytechnic"
"245","osuntechcollege","Osun State College of Technology"
"246","ospoly","Osun State polytechnic"
"247","osisatech","Our Saviour Institute of Science, Agric. &amp;amp; Tech."
"248","oyscai","Oyo State College Of Agriculture"
"249","plascag","Plateau State College Of Agriculture, Garkawa"
"250","plaspoly","Plateau State Polytechnic"
"251","polysok","Polytechnic Of Sokoto"
"252","ramatpoly","Ramat polytechnic"
"253","riverspoly","River State polytechnic"
"254","rivcas","Rivers State College Of Arts And Science"
"255","rschst","Rivers State College Of Health Science And Technology"
"256","ronik","Ronik Polytechnic"
"257","rugipo","Rufus Giwa polytechnic"
"258","samca","Samaru College Of Agriculture"
"259","soab","School Of Agriculture, Bauchi"
"260","soai","School Of Agriculture, Ikorodu"
"261","sichstmakarfi","Shehu Idris College Of Health Sci &amp;amp; Tech, Makarfi"
"262","secceit","South Eastern College of Computer Engineering and Info. Tech."
"263","sniit","Southern-nigeria Institute Of Innovative Technology"
"264","templegatepoly","Temple-gate Polytechnic"
"265","ibadanpoly","The polytechnic, Ibadan"
"266","polyife","The Polytechnic, Ile-Ife"
"267","simtech","The School Of Information And Media Technology"
"268","wufpbk","Waziri Umaru Fed. Polytechnic Birnin Kebbi"
"269","wolex","Wolex Polytechnic"
"270","yabatech","Yaba College of Technology"
"271","ascoed","Abia State College Of Education"
"272","adacoed","Adamu Augie College Of Education"
"273","aocoed","Adeniran Ogunsanya College of Education"
"274","aceondo","Adeyemi College Of Education, Ondo"
"275","atcoicoed","African Thinkers Community Of Inquiry College Of Education"
"276","akscoed","Akwa-ibom State College Of Education"
"277","alhikma","Alhikma College Of Education"
"278","allscoed","All States College Of Education, Akure"
"279","alvan","Alvan Ikoku College Of Education"
"280","angelcrown","Angel Crown College Of Education"
"281","ansaruddeen","Ansar-ud-deen College Of Education"
"282","apacoed","Apa College Of Education"
"283","ariscoed","Arabic And Islamic College Of Education"
"284","asscoed","Assanusiyah College Of Education"
"285","adcoed","Awori District College Of Education"
"286","bauchiiais","Bauchi Institute For Arabic And Islamic Studies"
"287","bycoed","Bayelsa State College Of Education"
"288","bayotijani","Bayotijani College Of Education"
"289","blcoed","Best Legacy College Of Education"
"290","cfcoed","Calvin Foundation College Of Education"
"291","citycoed","City College Of Education"
"292","coeaghor","College Of Education, Agbor"
"293","coeakwanga","College Of Education, Akwanga"
"294","coeankpa","College Of Education, Ankpa"
"295","coeazare","College Of Education, Azare"
"296","coeeki","College Of Education, Ekiadolor"
"297","foreignlinks","College Of Education, Foreign Links Campus Moro"
"298","coekc","College Of Education, Gidan-waya, Kafanchan"
