Number,Obsoleted By,Reference
csv49,csv0,Comma Separated Values For Nigeria by @stigwue
csv1,csv0,States codes and geopolitical zones by @stigwue
csv2,csv0,Geopolitical zones by @stigwue
csv3,csv0,States LGAs and Geolocation by @kehers
csv4,csv0,GSM Network Providers Phone Number Prefixes by @pystar and @stigwue
csv5,csv0,States and Capital Geolocation by @stigwue
csv6,csv0,Universities by @kehers
csv7,csv0,Universities Polytechnics and Colleges by @funsholaniyi
csv8,csv0,List of Banks with website and email address by @bhleson
